Station,UTM_E,UTM_N,Install,Remove,Problem 1,Problem 2
AI1a,439304.07,6524264.49,5/24/17,7/14/17,,
AI2a,439588.02,6524156.13,5/24/17,7/14/17,,
AI3a,439341.57,6524263.9,5/24/17,7/14/17,,
AI4a,439572.91,6524238,5/24/17,7/14/17,,
BA1a,447942.22,6479428.07,5/26/17,7/14/17,,
BA2a,447589.61,6478955.84,5/26/17,7/14/17,,
BA3a,447942.22,6479329.79,5/26/17,7/14/17,,
BA4a,447623.12,6478842.14,5/26/17,7/14/17,,
BC1a,450474.69,6495096.28,5/25/17,7/14/17,6/1/17,7/17/17
BC2a,450880.97,6495427.1,5/25/17,7/14/17,,
BC3a,450606.6,6495183.69,5/25/17,7/14/17,,
BC4a,450960.81,6495383.45,5/25/17,7/14/17,,
HC1a,434598.67,6530477.81,5/24/17,7/14/17,,
HC2a,434846.22,6530919.1,5/24/17,7/14/17,,
HC3a,434591.17,6530544.76,5/24/17,7/14/17,,
HC4a,434783.97,6530985.2,5/24/17,7/14/17,,
LA1a,388951.98,6530236.24,5/23/17,7/14/17,,
LA2a,389077.27,6530314.41,5/23/17,7/14/17,,
LA3a,389030.07,6530144.86,5/23/17,7/14/17,,
LA4a,389228.56,6530129.9,5/23/17,7/14/17,,
LI1a,448451.75,6480815.17,5/25/17,7/14/17,,
LI2a,448900.34,6480762.86,5/25/17,7/14/17,,
LI3a,448494,6480851.69,5/25/17,7/14/17,,
LI4a,449000.31,6480750.43,5/25/17,7/14/17,,
RE1a,395926.74,6525202.99,5/22/17,7/14/17,,
RE2a,395795.06,6524460.14,5/22/17,7/14/17,,
RE3a,395985.95,6525151.26,5/22/17,7/14/17,,
RE4a,395956.68,6524422.36,5/22/17,7/14/17,,
RW1a,395000.94,6524414.81,5/22/17,7/14/17,,
RW2a,394888.89,6525106.67,5/22/17,7/14/17,,
RW3a,394943.52,6524390.41,5/22/17,7/14/17,,
RW4a,394833.12,6525106.4,5/22/17,7/14/17,,
SC1a,443552.62,6508438.52,5/24/17,7/14/17,,
SC2a,443209.67,6508822.15,5/24/17,7/14/17,,
SC3a,443645.16,6508359.22,5/24/17,7/14/17,,
SC4a,443274.34,6508823.09,5/24/17,7/14/17,,
UT1a,383373.73,6543368.46,5/23/17,7/14/17,,
UT2a,382990.79,6543751.49,5/23/17,7/14/17,,
UT3a,383557.35,6543234.75,5/23/17,7/14/17,,
UT4a,383046.73,6543701.54,5/23/17,7/14/17,,
AI1a,439304.07,6524264.49,7/15/17,9/7/17,,
AI2a,439588.02,6524156.13,7/15/17,9/7/17,,
AI3a,439341.57,6524263.9,7/15/17,9/7/17,,
AI4a,439572.91,6524238,7/15/17,9/7/17,,
